Time,Bms_Life,SumVoltage,Current,SOC,ChgMOS,DisChgMOS,SerialNum,TempNum,RemainCap,MaxV,MaxV_No,MinV,MinV_No,MaxT,MaxT_No,MinT,MinT_No,CellV_1,CellV_2,CellV_3,CellV_4,CellV_5,CellV_6,CellV_7,CellV_8,CellV_9,CellV_10,CellV_11,CellV_12,CellV_13,CellV_14,CellV_15,CellV_16,Temp_1,Temp_2,ErrCode1,ErrCode2,ErrCode3,ErrCode4,ErrCode5,ErrCode6,ErrCode7,ErrCode8,CycleTime,DI1,DI2,DI3,DI4,DO1,DO2,DO3,DO4,BoardNum,SOH,BalanceWord
4:12:49 pm,236,54.9,4.8,84.3,ON,ON,16,2,12.645,3.444,16,3.433,10,25,2,24,1,3.437,3.436,3.438,3.434,3.438,3.433,3.442,3.436,3.44,3.433,3.433,3.438,3.437,3.438,3.436,,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:12:53 pm,241,54.9,4.8,84.3,ON,ON,16,2,12.66,3.445,16,3.434,4,25,2,24,1,3.437,3.436,3.438,3.434,3.438,3.433,3.442,3.437,3.442,3.433,3.434,3.438,3.437,3.438,3.437,3.445,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:13:11 pm,3,55,4.8,84.5,ON,ON,16,2,12.675,3.445,16,3.434,6,25,2,24,1,3.436,3.436,3.439,3.436,3.439,3.434,3.442,3.438,3.442,3.434,3.434,3.438,3.438,3.439,3.438,3.445,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:13:14 pm,6,55,4.7,84.5,ON,ON,16,2,12.675,3.445,16,3.434,6,25,2,24,1,3.437,3.437,3.441,3.436,3.441,3.434,3.442,3.439,3.443,3.434,3.437,3.438,3.438,3.442,3.438,3.448,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:13:19 pm,11,55,4.7,84.5,ON,ON,16,2,12.69,3.447,16,3.434,6,25,2,24,1,3.437,3.437,3.441,3.436,3.441,3.434,3.442,3.439,3.443,3.434,3.437,3.438,3.438,3.442,3.438,3.448,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:13:28 pm,20,55,4.8,84.6,ON,ON,16,2,12.69,3.447,16,3.436,6,25,2,24,1,3.437,3.437,3.441,3.437,3.44,3.436,3.444,3.439,3.443,3.437,3.437,3.435,3.439,3.44,3.438,3.449,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:13:30 pm,22,55,4.8,84.7,ON,ON,16,2,12.705,3.448,16,3.436,6,25,2,24,1,3.437,3.437,3.441,3.437,3.44,3.436,3.444,3.439,3.443,3.437,3.437,3.435,3.439,3.44,3.438,3.449,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:13:40 pm,32,55,4.8,84.7,ON,ON,16,2,12.705,3.578,16,36.204,6,25,2,24,1,3.438,3.437,3.44,3.438,3.44,3.436,3.443,3.441,3.444,3.437,3.437,3.441,3.439,3.442,3.438,3.449,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:13:50 pm,42,55,4.8,84.8,ON,ON,16,2,12.72,3.45,20,3.436,2,25,2,24,1,3.438,3.438,3.44,3.437,3.442,3.436,3.443,3.441,3.444,3.438,3.437,3.441,3.439,3.442,3.438,3.45,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:13:54 pm,46,55,4.8,84.8,ON,ON,16,2,12.72,3.45,20,3.436,2,25,2,24,1,3.438,3.438,3.44,3.439,3.442,3.438,3.443,3.441,3.444,3.437,3.437,3.441,3.44,3.443,3.439,3.45,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:13:56 pm,49,55,4.8,84.9,ON,ON,16,2,12.735,3.452,16,3.437,10,25,2,24,1,3.438,3.438,3.44,3.439,3.442,3.438,3.443,3.441,3.444,3.437,3.437,3.441,3.44,3.443,3.439,3.45,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:14:03 pm,54,55,4.8,84.9,ON,ON,16,2,12.735,3.451,16,3.437,10,25,2,24,1,3.441,3.438,3.44,3.438,3.442,3.438,3.445,3.441,3.445,3.437,3.437,3.441,3.44,3.443,3.439,3.45,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:14:07 pm,58,55,4.8,84.9,ON,ON,16,2,12.735,3.453,16,3.437,10,25,2,24,1,3.441,3.438,3.442,3.438,3.442,3.438,3.445,3.44,3.445,3.437,3.439,3.44,3.44,3.443,3.439,3.45,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:14:13 pm,64,55,4.8,85,ON,ON,16,2,12.75,3.453,16,3.437,10,25,2,24,1,3.441,3.438,3.443,3.438,3.444,3.438,3.445,3.44,3.447,3.438,3.438,3.44,3.443,3.444,3.439,3.453,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:14:16 pm,68,55,4.8,85,ON,ON,16,2,12.75,3.453,16,3.438,2,25,2,24,1,3.441,3.438,3.442,3.438,3.443,3.437,3.445,3.44,3.447,3.438,3.438,3.44,3.442,3.444,3.439,3.453,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:14:19 pm,71,55,4.8,85,ON,ON,16,2,12.75,3.453,16,3.438,2,25,2,24,1,3.441,3.438,3.442,3.438,3.443,3.437,3.445,3.44,3.447,3.438,3.438,3.44,3.442,3.444,3.439,3.453,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:14:23 pm,74,55,4.8,85.1,ON,ON,16,2,12.765,3.453,16,3.438,2,25,2,24,1,3.441,3.438,3.442,3.438,3.443,3.437,3.445,3.44,3.447,3.438,3.438,3.44,3.442,3.444,3.439,3.453,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:14:28 pm,79,54.8,56,85.1,ON,ON,16,2,12.765,3.453,16,3.438,2,25,2,24,1,3.441,3.439,3.442,3.441,3.444,3.438,3.445,3.44,3.448,3.438,3.438,3.44,3.443,3.444,3.442,3.453,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:14:36 pm,88,55,4.8,85.1,ON,ON,16,2,12.78,3.456,16,3.438,6,25,2,24,1,3.441,3.439,3.442,3.441,3.444,3.438,3.447,3.443,3.448,3.438,3.438,3.44,3.443,3.445,3.442,3.455,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:14:38 pm,90,55,4.8,85.2,ON,ON,16,2,12.78,3.456,16,3.438,6,25,2,24,1,3.441,3.439,3.442,3.441,3.444,3.438,3.447,3.443,3.448,3.438,3.438,3.44,3.443,3.445,3.442,3.455,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:14:46 pm,98,55,4.7,85.2,ON,ON,16,2,12.78,3.458,16,3.438,6,25,2,24,1,3.442,3.439,3.444,3.441,3.444,3.438,3.447,3.442,3.448,3.439,3.441,3.443,3.444,3.445,3.442,3.458,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:14:49 pm,101,55,4.7,85.3,ON,ON,16,2,12.795,3.456,16,3.438,6,25,2,24,1,3.442,3.439,3.444,3.441,3.444,3.438,3.447,3.442,3.448,3.439,3.441,3.443,3.444,3.445,3.442,3.458,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:14:54 pm,106,55.1,4.8,85.3,ON,ON,16,2,12.795,3.456,16,3.438,6,25,2,24,1,3.442,3.44,3.444,3.442,3.444,3.441,3.448,3.442,3.448,3.439,3.441,3.443,3.444,3.445,3.442,3.458,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:15:02 pm,114,55.1,4.7,85.4,ON,ON,16,2,12.81,3.456,16,3.438,6,25,2,24,1,3.442,3.442,3.444,3.442,3.444,3.441,3.448,3.444,3.448,3.439,3.441,3.443,3.444,3.447,3.443,3.459,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:15:05 pm,117,55.1,4.7,85.4,ON,ON,16,2,12.81,3.459,16,3.439,10,25,2,24,1,3.443,3.442,3.445,3.44,3.444,3.439,3.448,3.444,3.448,3.439,3.439,3.443,3.444,3.445,3.442,3.459,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:15:09 pm,121,55.1,4.8,85.4,ON,ON,16,2,12.81,3.459,16,3.439,10,25,2,24,1,3.443,3.442,3.445,3.44,3.444,3.439,3.448,3.444,3.448,3.439,3.441,3.444,3.444,3.445,3.442,3.459,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:15:35 pm,146,55.1,4.8,85.6,ON,ON,16,2,12.84,3.461,16,3.44,10,25,2,24,1,3.443,3.442,3.444,3.442,3.445,3.441,3.448,3.444,3.45,3.441,3.44,3.444,3.445,3.445,3.444,3.463,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:15:37 pm,149,55.1,4.8,85.6,ON,ON,16,2,12.84,3.464,16,3.44,10,25,2,24,1,3.443,3.443,3.444,3.442,3.445,3.442,3.448,3.444,3.45,3.441,3.44,3.444,3.445,3.445,3.444,3.461,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:15:44 pm,156,55.1,4.8,85.7,ON,ON,16,2,12.855,3.464,16,3.44,10,25,2,24,1,3.443,3.442,3.447,3.443,3.447,3.442,3.448,3.445,3.449,3.44,3.442,3.445,3.445,3.448,3.444,3.464,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:16:04 pm,175,55.1,4.7,85.8,ON,ON,16,2,12.87,3.466,16,3.442,6,25,2,24,1,3.444,3.442,3.445,3.443,3.448,3.442,3.449,3.445,3.452,3.442,3.443,3.444,3.447,3.448,3.444,3.465,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:16:05 pm,177,55.1,4.8,85.9,ON,ON,16,2,12.885,3.466,16,3.442,6,25,2,24,1,3.444,3.442,3.445,3.443,3.448,3.442,3.449,3.445,3.452,3.442,3.443,3.444,3.447,3.448,3.444,3.465,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:16:11 pm,183,55.1,4.7,85.9,ON,ON,16,2,12.885,3.466,16,3.44,6,25,2,24,1,3.444,3.443,3.445,3.443,3.447,3.44,3.449,3.445,3.45,3.442,3.443,3.444,3.447,3.448,3.445,3.466,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:16:21 pm,193,55.1,4.8,86,ON,ON,16,2,12.9,3.466,16,3.44,6,25,2,24,1,3.445,3.444,3.445,3.444,3.447,3.443,3.449,3.445,3.45,3.443,3.443,3.447,3.447,3.449,3.445,3.466,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:16:25 pm,198,55.1,4.8,86,ON,ON,16,2,12.9,3.469,16,3.443,6,25,2,24,1,3.445,3.444,3.445,3.444,3.447,3.443,3.449,3.445,3.45,3.443,3.443,3.447,3.447,3.449,3.445,3.466,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:16:29 pm,201,55.1,4.8,86,ON,ON,16,2,12.9,3.469,16,3.443,6,25,2,24,1,3.445,3.444,3.445,3.444,3.447,3.443,3.449,3.445,3.45,3.443,3.443,3.447,3.448,3.449,3.445,3.469,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:16:31 pm,203,55.1,4.8,86.1,ON,ON,16,2,12.915,3.469,16,3.443,4,25,2,24,1,3.445,3.444,3.447,3.443,3.448,3.443,3.449,3.445,3.45,3.443,3.443,3.447,3.448,3.449,3.445,3.469,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:16:35 pm,207,55.1,4.8,86.1,ON,ON,16,2,12.915,3.47,16,3.443,4,25,2,24,1,3.445,3.444,3.447,3.443,3.449,3.443,3.449,3.445,3.45,3.443,3.443,3.447,3.448,3.449,3.445,3.469,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:16:40 pm,212,55.1,4.8,86.1,ON,ON,16,2,12.915,3.471,16,3.443,6,25,2,24,1,3.445,3.444,3.447,3.443,3.449,3.443,3.449,3.445,3.45,3.443,3.443,3.447,3.448,3.449,3.445,3.469,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:16:44 pm,216,55.1,4.8,86.2,ON,ON,16,2,12.93,3.472,16,3.443,6,25,2,24,1,3.445,3.444,3.447,3.443,3.449,3.443,3.449,3.445,3.45,3.443,3.443,3.447,3.448,3.449,3.445,3.469,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:16:51 pm,223,55.1,4.7,86.2,ON,ON,16,2,12.93,3.472,16,3.442,6,25,2,24,1,3.445,3.445,3.447,3.444,3.448,3.443,3.449,3.445,3.45,3.444,3.444,3.445,3.448,3.449,3.445,3.469,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:16:56 pm,228,55.1,4.7,86.2,ON,ON,16,2,12.945,3.472,16,3.442,6,25,2,24,1,3.447,3.445,3.448,3.444,3.448,3.443,3.452,3.448,3.453,3.443,3.444,3.447,3.448,3.449,3.445,3.472,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:16:59 pm,231,55.1,4.7,86.2,ON,ON,16,2,12.945,3.474,16,3.443,10,25,2,24,1,3.447,3.445,3.448,3.444,3.448,3.443,3.452,3.448,3.453,3.443,3.444,3.447,3.448,3.449,3.445,3.472,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
4:17:04 pm,236,55.1,4.7,86.2,ON,ON,16,2,12.945,3.474,16,3.443,10,25,2,24,1,3.447,3.445,3.449,3.444,3.448,3.443,3.452,3.448,3.454,3.443,3.444,3.447,3.448,3.45,3.447,3.475,24,25,0,0,0,0,0,0,0,0,1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
